book_title,author_name,keywords
The Hunger Games,Suzanne Collins,collins; hunger; gregor; games; districts; katniss; capitol; survival; death; means; underland; place; contender; everdeen; shining; participate; sentence; forcing; send; weight
Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré (Illustrator)",grandpré; harry; potter; hogwarts; scholastic; threat; terror; rowling; rosenstock; barb; corridor; depends; honey; boundless; quidditch; grasp; tightens; wizarding; screaming; authorities
Pride and Prejudice,"Jane Austen, Anna Quindlen (Introduction)",bennet; elizabeth; lydia; jane; mr; mrs; opinionated; civilized; vivacious; delightful; flirtation; radiant; splendid; heroine; darcy; regency; prejudice; immediate; performance; beau
The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes (Illustrator)",baynes; narnia; books; chronicles; puffin; lewis; unwin; reader; seven; tolkien; blackie; deceptively; fictional; pauline; illustration; transcended; 1949; wardrobe; unabridged; impressive
Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré (Illustrator)",grandpré; harry; potter; scholastic; relatives; wizarding; hogwarts; rowling; rosenstock; barb; magical; knopf; evil; voldemort; assembles; failing; kandinsky; wizardry; noisy; sympathetic
Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré (Illustrator)",grandpré; harry; hogwarts; potter; scholastic; azkaban; rowling; rosenstock; barb; knopf; black; voldemort; heights; new; kandinsky; quidditch; aching; relative; heartwarming; wizardry
Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré (Illustrator)",grandpré; harry; wants; potter; wizard; scholastic; normal; event; rowling; dream; rosenstock; barb; midway; cho; dursleys; ron; hermione; quidditch; competition; cup
Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré (Illustrator)",grandpré; harry; hogwarts; potter; scholastic; rowling; strike; rosenstock; barb; knopf; packing; malfoy; dursleys; draco; bathroom; bags; kandinsky; poisonous; wizardry; arise
Catching Fire,Suzanne Collins,katniss; collins; peeta; hunger; gregor; games; capitol; rebellion; underland; overlander; catching; pryor; suzanne; miraculously; igniting; mellark; districts; scares; gale; unrest
Mockingjay,Suzanne Collins,collins; katniss; hunger; gregor; capitol; games; safe; unrest; everdeen; arena; district; limited; underland; twice; bloody; angry; survived; ground; period; snow
Stargirl,Jerry Spinelli,spinelli; stargirl; mica; popularity; leo; gettysburg; tense; fleeting; thrill; plimpton; eileen; celebration; inspiration; cruel; emotional; nature; love; jerry; tale; high
Midnight's Children,Salman Rushdie,rushdie; midnight; india; born; colourful; coincidence; smell; independence; privilege; ear; gifts; mysteriously; 20th; background; wildly; victims; sensitive; hour; inner; talent
Obsidian,Jennifer L. Armentrout (Goodreads Author),daemon; armentrout; ash; alien; blood; novella; series; flesh; hot; jennifer; lynn; 2013; 1001; spin; 2015; 2014; prequel; stab; sticking; dodgy
The English Patient,Michael Ondaatje,ondaatje; toronto; isbn; ravishing; intersection; flashes; exhausted; wary; maimed; illuminate; riddle; nameless; lightning; italian; nurse; burned; damaged; thief; traces; booker
Cloud Atlas,David Mitchell,mitchell; webb; comedy; cloud; sitcom; panel; peep; bbc; way; david; begins; channel; sketch; postmodern; bending; virtuosity; bisexual; goose; transcended; korean
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,pirsig; motorcycle; live; maintenance; undertaken; zen; meditation; examination; robert; trip; better; art; summer; america; son; set; father; young; minnesota; montana
The Martian,Andy Weir (Goodreads Author),weir; mark; martian; refusal; dogged; obstacle; insurmountable; signal; confronts; supplies; quit; error; engineering; likely; unforgiving; ingenuity; arrive; mars; damaged; environment
Shatter Me,Tahereh Mafi,mafi; shatter; juliette; reestablishment; touch; maybe; exactly; fracture; diseases; stuffed; destroy; furthermore; poisonous; cares; california; restore; cell; 17; whispering; threw
Doctor Zhivago,"Boris Pasternak, John Bayley (Introduction), Max Hayward (Translator), Manya Harari (Translator)",pasternak; soviet; lara; decline; disrupted; ego; zhivago; bourgeois; 1958; nobel; compelled; rejection; awarded; 1987; authorities; featured; vulnerable; alter; seller; physician
